NMLZ.FUT,\Nmlzipfv{}
NMLZ.PFV,\Nmlzpfv{}
NMLZ.AG,\Agt{}
FORCE,\Rqu{}
FREQ,\Freq{}
4.FUT,\Fplincl:\Fut{}
4.POSS,\Fplinclposs{}
3.SG,\Tsg{}
3SG,\Tsg{}
3SG.POSS,\Tsgposs{}
3PL,\Tpl{}
3.PL,\Tpl{}
3PL.POSS,\Tplposs{}
2.SG,\Ssg{}
2SG,\Ssg{}
2SG.POSS,\Ssgposs{}
2PL,\Spl{}
2.PL,\Spl{}
2PL.POSS,\Splposs{}
1.SG,\Fsg{}
1SG,\Fsg{}
1SG.POSS,\Fsgposs{}
1PL,\Fplexcl{}
1.PL,\Fplexcl{}
1PL.POSS,\Fplexclposs{}
4,\Fplincl{}
3,\Third{}
2,\Second{}
ABL,\Abl{}
ACC,\Acc{}
ADD,\Addpas{}
AFF,\Aff{}
AG,\Agt{}
ALL,\All{}
APPL,\Appl{}
BEN,\Ben{}
CAUS,\Caus{}
CISL,\Cis{}
CONJ,\Evchaa{}
CVB.SS,\Cvbss{}
CVB.DS,\Cvbds{}
DISC,\Nya{}
DIM,\Dim{}
DUMMY,\Dummy{}
DUR,\Dur{}
DW,\Dw{}
EMPH,\Emph{}
EV:MA,\Evmari{}
>,\T{}
EV:PS,\Evps{}
INCL:NTIN,\Incl{}
TOPN,\Topn{}
FIL,\Fil{}
FACT,\Fact{}
FUT,\Fut{}
GEN,\Gen{}
IMP,\Imp{}
INCH,\Inc{}
INCHOA,\Inc{}
INS,\Wan{}
INF,\Nmlzinf{}
LIM,\Lim{}
LOC,\Loc{}
NEG,\Neg{}
NMLZ,\Nmlz{}
OWN,\Own{}
IPFV,\Ipfv{}
PATH,\Path{}
RECP,\Recp{}
REFL,\Refl{}
PLENTY,\Plenty{}
PL,\Pl{}
CHAQ,\Chaq{}
CNT,\Cnt{}
POT,\Pot{}
PST,\Pst{}
REASN,\Rayku{}
RSTR,\Rstr{}
SEQ,\Cntr{}
Q:CHU,\Qchu{}
EV:CHU,\Evchu{}
SG,\Sg{}
STORY,\Story{}
TOP,\Top{}
TRANSF,\Autotransf{}
MUT,\Transf{}
-Q,-\Int{}
1,\First{}
$,\loan{}
%,\loan{}
