1,h1,The physical world
2,1-1,the world
3,1-21,the land
4,1-212,the soil
5,1-213,the dust
6,1-214,the mud
7,1-215,the sand
8,1-22,the mountain or hill
9,1-222,the cliff or precipice
10,1-23,the plain
11,1-24,the valley
12,1-25,the island
13,1-26,the mainland
14,1-27,the shore
15,1-28,the cave
16,1-31,the water
17,1-32,the sea
18,1-322,calm
19,1-323,rough(2)
20,1-324,the foam
21,1-329,the ocean
22,1-33,the lake
23,1-34,the bay
24,1-341,the lagoon
25,1-342,the reef
26,1-343,the cape
27,1-35,the wave
28,1-352,the tide
29,1-353,the low tide
30,1-354,the high tide
31,1-36,the river or stream
32,1-362,the whirlpool
33,1-37,the spring or well
34,1-38,the swamp
35,1-39,the waterfall
36,1-41,the woods or forest
37,1-411,the savanna
38,1-43,the wood
39,1-44,the stone or rock
40,1-45,the earthquake
41,1-51,the sky
42,1-52,the sun
43,1-53,the moon
44,1-54,the star
45,1-55,the lightning
46,1-56,the thunder
47,1-57,the bolt of lightning
48,1-58,the storm
49,1-59,the rainbow
50,1-61,the light
51,1-62,the darkness
52,1-63,the shade or shadow
53,1-64,the dew
54,1-71,the air
55,1-72,the wind
56,1-73,the cloud
57,1-74,the fog
58,1-75,the rain
59,1-76,the snow
60,1-77,the ice
61,1-771,the arctic lights
62,1-775,to freeze
63,1-78,the weather
64,1-81,the fire
65,1-82,the flame
66,1-83,the smoke
67,1-831,the steam
68,1-84,the ash
69,1-841,the embers
70,1-851,to burn(1)
71,1-852,to burn(2)
72,1-86,to light
73,1-861,to extinguish
74,1-87,the match
75,1-88,the firewood
76,1-89,the charcoal
77,h2,Kinship
78,2-1,the person
79,2-21,the man
80,2-22,the woman
81,2-23,male(1)
82,2-24,female(1)
83,2-25,the boy
84,2-251,the young man
85,2-26,the girl
86,2-261,the young woman
87,2-27,the child(1)
88,2-28,the baby
89,2-31,the husband
90,2-32,the wife
91,2-33,to marry
92,2-34,the wedding
93,2-341,the divorce
94,2-35,the father
95,2-36,the mother
96,2-37,the parents
97,2-38,the married man
98,2-39,the married woman
99,2-41,the son
100,2-42,the daughter
101,2-43,the child(2)
102,2-44,the brother
103,2-444,the older brother
104,2-445,the younger brother
105,2-45,the sister
106,2-454,the older sister
107,2-455,the younger sister
108,2-456,the sibling
109,2-4561,the older sibling
110,2-4562,the younger sibling
111,2-458,the twins
112,2-46,the grandfather
113,2-461,the old man
114,2-47,the grandmother
115,2-471,the old woman
116,2-4711,the grandparents
117,2-48,the grandson
118,2-49,the granddaughter
119,2-5,the grandchild
120,2-51,the uncle
121,2-511,the mother's brother
122,2-512,the father's brother
123,2-52,the aunt
124,2-521,the mother's sister
125,2-522,the father's sister
126,2-53,the nephew
127,2-54,the niece
128,2-541,the sibling’s child
129,2-55,the cousin
130,2-56,the ancestors
131,2-57,the descendants
132,2-61,the father-in-law (of a man)
133,2-611,the father-in-law (of a woman)
134,2-62,the mother-in-law (of a man)
135,2-621,the mother-in-law (of a woman)
136,2-622,the parents-in-law
137,2-63,the son-in-law (of a man)
138,2-631,the son-in-law (of a woman)
139,2-64,the daughter-in-law (of a man)
140,2-641,the daughter-in-law (of a woman)
141,2-6411,the child-in-law
142,2-6412,the sibling-in-law
143,2-71,the stepfather
144,2-72,the stepmother
145,2-73,the stepson
146,2-74,the stepdaughter
147,2-75,the orphan
148,2-76,the widow
149,2-77,the widower
150,2-81,the relatives
151,2-82,the family
152,2-91,I
153,2-92,you (singular)
154,2-93,he/she/it
155,2-931,he
156,2-932,she
157,2-933,it
158,2-94,we
159,2-941,we (inclusive)
160,2-942,we (exclusive)
161,2-95,you (plural)
162,2-96,they
163,h3,Animals
164,3-11,the animal
165,3-12,male(2)
166,3-13,female(2)
167,3-15,the livestock
168,3-16,the pasture
169,3-18,the herdsman
170,3-19,the stable or stall
171,3-2,the cattle
172,3-21,the bull
173,3-22,the ox
174,3-23,the cow
175,3-24,the calf
176,3-25,the sheep
177,3-26,the ram
178,3-28,the ewe
179,3-29,the lamb
180,3-32,the boar
181,3-34,the sow
182,3-35,the pig
183,3-36,the goat
184,3-37,the he-goat
185,3-38,the kid
186,3-41,the horse
187,3-42,the stallion
188,3-44,the mare
189,3-45,the foal or colt
190,3-46,the donkey
191,3-47,the mule
192,3-5,the fowl
193,3-52,the cock/rooster
194,3-54,the hen
195,3-55,the chicken
196,3-56,the goose
197,3-57,the duck
198,3-58,the nest
199,3-581,the bird
200,3-582,the seagull
201,3-583,the heron
202,3-584,the eagle
203,3-585,the hawk
204,3-586,the vulture
205,3-591,the bat
206,3-592,the parrot
207,3-593,the crow
208,3-594,the dove
209,3-596,the owl
210,3-597,the cormorant
211,3-598,the toucan
212,3-61,the dog
213,3-614,the rabbit
214,3-62,the cat
215,3-622,the opossum
216,3-63,the mouse or rat
217,3-65,the fish
218,3-652,the fin
219,3-653,the scale
220,3-654,the gill
221,3-655,the shell
222,3-661,the shark
223,3-662,the porpoise or dolphin
224,3-663,the whale
225,3-664,the stingray
226,3-665,the freshwater eel
227,3-71,the wolf
228,3-72,the lion
229,3-73,the bear
230,3-74,the fox
231,3-75,the deer
232,3-76,the monkey
233,3-77,the elephant
234,3-78,the camel
235,3-81,the insect
236,3-811,the head louse
237,3-8112,the body louse
238,3-812,the nit
239,3-813,the flea
240,3-814,the centipede
241,3-815,the scorpion
242,3-816,the cockroach
243,3-817,the ant
244,3-818,the spider
245,3-819,the spider web
246,3-82,the bee
247,3-821,the beeswax
248,3-822,the beehive
249,3-823,the wasp
250,3-83,the fly
251,3-831,the sandfly or midge or gnat
252,3-832,the mosquito
253,3-833,the prawns or shrimp
254,3-834,the termites
255,3-835,the tick
256,3-84,the worm
257,3-85,the snake
258,3-862,the coyote
259,3-863,the hare
260,3-865,the quail
261,3-866,the raccoon
262,3-869,the squirrel
263,3-871,the reindeer/caribou
264,3-872,the elk/moose
265,3-873,the beaver
266,3-88,the kangaroo
267,3-89,the anteater
268,3-9,the jaguar
269,3-91,the firefly
270,3-913,the chameleon
271,3-917,the buffalo
272,3-92,the butterfly
273,3-93,the grasshopper
274,3-94,the snail
275,3-95,the frog
276,3-96,the lizard
277,3-97,the crocodile or alligator
278,3-98,the turtle
279,3-99,the tapir
280,h4,The body
281,4-11,the body
282,4-12,the skin or hide
283,4-13,the flesh
284,4-14,the hair
285,4-142,the beard
286,4-144,the body hair
287,4-145,the pubic hair
288,4-146,the dandruff
289,4-15,the blood
290,4-151,the vein or artery
291,4-16,the bone
292,4-162,the rib
293,4-17,the horn
294,4-18,the tail
295,4-19,the back
296,4-191,the spine
297,4-2,the head
298,4-201,the temples
299,4-202,the skull
300,4-203,the brain
301,4-204,the face
302,4-205,the forehead
303,4-207,the jaw
304,4-208,the cheek
305,4-209,the chin
306,4-21,the eye
307,4-212,the eyebrow
308,4-213,the eyelid
309,4-214,the eyelash
310,4-215,to blink
311,4-22,the ear
312,4-221,the earlobe
313,4-222,the earwax
314,4-23,the nose
315,4-231,the nostril
316,4-232,the nasal mucus
317,4-24,the mouth
318,4-241,the beak
319,4-25,the lip
320,4-26,the tongue
321,4-27,the tooth
322,4-271,the gums
323,4-272,the molar tooth
324,4-28,the neck
325,4-281,the nape of the neck
326,4-29,the throat
327,4-3,the shoulder
328,4-301,the shoulderblade
329,4-302,the collarbone
330,4-31,the arm
331,4-312,the armpit
332,4-32,the elbow
333,4-321,the wrist
334,4-33,the hand
335,4-331,the palm of the hand
336,4-34,the finger
337,4-342,the thumb
338,4-344,the fingernail
339,4-345,the claw
340,4-35,the leg
341,4-351,the thigh
342,4-352,the calf of the leg
343,4-36,the knee
344,4-37,the foot
345,4-371,the ankle
346,4-372,the heel
347,4-374,the footprint
348,4-38,the toe
349,4-392,the wing
350,4-393,the feather
351,4-4,the chest
352,4-41,the breast
353,4-412,the nipple or teat
354,4-42,the udder
355,4-43,the navel
356,4-431,the belly
357,4-44,the heart
358,4-441,the lung
359,4-45,the liver
360,4-451,the kidney
361,4-452,the spleen
362,4-46,the stomach
363,4-461,the intestines or guts
364,4-462,the waist
365,4-463,the hip
366,4-464,the buttocks
367,4-465,the sinew or tendon
368,4-47,the womb
369,4-49,the testicles
370,4-492,the penis
371,4-493,the vagina
372,4-494,the vulva
373,4-51,to breathe
374,4-52,to yawn
375,4-521,to hiccough
376,4-53,to cough
377,4-54,to sneeze
378,4-55,to perspire
379,4-56,to spit
380,4-57,to vomit
381,4-58,to bite
382,4-59,to lick
383,4-591,to dribble
384,4-61,to sleep
385,4-612,to snore
386,4-62,to dream
387,4-63,to wake up
388,4-64,to fart
389,4-65,to piss
390,4-66,to shit
391,4-67,to have sex
392,4-68,to shiver
393,4-69,to bathe
394,4-71,to beget
395,4-72,to be born
396,4-73,pregnant
397,4-732,to conceive
398,4-74,to be alive
399,4-741,the life
400,4-75,to die
401,4-7501,dead
402,4-751,to drown
403,4-76,to kill
404,4-77,the corpse
405,4-771,the carcass
406,4-78,to bury
407,4-79,the grave
408,4-81,strong
409,4-82,weak
410,4-83,healthy
411,4-84,sick/ill
412,4-841,the fever
413,4-842,the goitre/goiter
414,4-843,the cold
415,4-844,the disease
416,4-85,the wound or sore
417,4-852,the bruise
418,4-853,the swelling
419,4-854,the itch
420,4-8541,to scratch
421,4-855,the blister
422,4-856,the boil
423,4-857,the pus
424,4-858,the scar
425,4-86,to cure
426,4-87,the physician
